ru_male_name,eng_male_name,ru_female_name,eng_female_name
Александр,Alexander,Анна,Anna
Андрей,Andrey,Ольга,Olga
Дмитрий,Dmitry,Татьяна,Tatyana
Иван,Ivan,Елена,Elena
Сергей,Sergey,Наталья,Natalia
Владимир,Vladimir,Ирина,Irina
Николай,Nikolai,Светлана,Svetlana
Павел,Pavel,Мария,Maria
Алексей,Alexey,Екатерина,Ekaterina
Михаил,Mikhail,Алина,Alina
Евгений,Evgeny,Вера,Vera
Василий,Vasily,Людмила,Lyudmila
Виктор,Victor,Галина,Galina
Анатолий,Anatoly,Ксения,Ksenia
Юрий,Yuri,Валентина,Valentina
Олег,Oleg,Юлия,Yulia
Валерий,Valery,Александра,Alexandra
Константин,Konstantin,Надежда,Nadezhda
Борис,Boris,Марина,Marina
Вячеслав,Vyacheslav,София,Sofia
Григорий,Grigory,Полина,Polina
Артем,Artem,Анастасия,Anastasia
Денис,Denis,Виктория,Victoria
Игорь,Igor,Лариса,Larisa
Роман,Roman,Тамара,Tamara
Владислав,Vladislav,Жанна,Zhanna
Антон,Anton,Дарья,Darya
Тимофей,Timofey,Евгения,Evgenia
Петр,Petr,Инна,Inna
Геннадий,Gennady,Оксана,Oksana
Никита,Nikita,Лилия,Liliya
Станислав,Stanislav,Зинаида,Zinaida
Даниил,Daniil,Владислава,Vladislava
Федор,Fedor,Елизавета,Elizaveta
Леонид,Leonid,Анжелика,Angelika
Андреевич,Andreevich,Антонина,Antonina
Валентин,Valentin,Валерия,Valeriya
Максим,Maxim,Варвара,Varvara
Семен,Semen,Василиса,Vasilisa
Матвей,Matvey,Вероника,Veronika
Георгий,Georgy,Глафира,Glafira
Илья,Ilya,Диана,Diana
Аркадий,Arkady,Евдокия,Evdokiya
Ярослав,Yaroslav,Жасмин,Jasmin
Александро,Aleksandro,Зоя,Zoya
Егор,Egor,Изольда,Izolda
Кирилл,Kirill,Карина,Karina
Влад,Vlad,Клавдия,Klavdiya
Савелий,Saveliy,Леся,Lesya
Ефим,Efim,Лидия,Lidiya
Женя,Zhenya,Магдалина,Magdalina
Марк,Mark,Майя,Maya
Виталий,Vitaly,Маргарита,Margarita
Алексеевич,Alekseevich,Нателла,Natella
Филипп,Filipp,Нелли,Nelli
Степан,Stepan,Ника,Nika
Макар,Makar,Нонна,Nonna
Глеб,Gleb,Олеся,Olesya
Лев,Lev,Раиса,Raisa
Вадим,Vadim,Регина,Regina
Платон,Platon,Римма,Rimma
Арсений,Arseny,Роза,Roza
Мирон,Miron,Сабина,Sabina
Гавриил,Gavriil,Серафима,Serafima
Руслан,Ruslan,Снежана,Snezhana
Радик,Radik,Стелла,Stella
Лука,Luka,Таисия,Taisiya
Тарас,Taras,Ульяна,Ulyana
Наум,Naum,Фаина,Faina
Афанасий,Afanasiy,Христина,Kristina
Феликс,Felix,Элла,Ella
Эмиль,Emil,Эмилия,Emiliya
Артур,Artur,Юстина,Justina
Тимур,Timur,Яна,Yana
Родион,Rodion,Ярослава,Yaroslava
Мирослав,Miroslav,Агата,Agata
Гордей,Gordey,Алевтина,Alevtina
Яков,Yakov,Алиса,Alisa
Вениамин,Veniamin,Алла,Alla
Назар,Nazar,Арина,Arina
Эдуард,Eduard,Белла,Bella
Давид,David,Богдана,Bogdana
Ростислав,Rostislav,Виолетта,Violetta
Валериан,Valerian,Гертруда,Gertruda
Оскар,Oskar,Доминика,Dominika
Марат,Marat,Ева,Eva
Тихон,Tikhon,Злата,Zlata
Всеволод,Vsevolod,Илария,Ilariya
Игнат,Ignat,Кира,Kira
Захар,Zakhar,Лада,Lada
Варлам,Varlam,Леонтина,Leontina
Ринат,Rinat,Любовь,Lyubov
Аристарх,Aristarkh,Милена,Milena
Исаак,Isaak,Ника,Nika
Густав,Gustav,,
Арсен,,,
Дамир,,,
Рустам,,,
Мерген,,,
Балдан,,,
Энвер,,,
Алдын,,,
Чойган,,,
Альчин,,,
Нигоон,,,
Сергей,,,
Эрес,,,
Соян,,,
Бато,,,
Баир,,,
Жаргал,,,
Алдар,,,
Баяр,,,
Дулма,,,
Зорикто,,,
Лхасаран,,,
Эрдэни,,,
Шагдар,,,
Шараб,,,
Эрдэни,,,
Байкал,,,
Тала,,,
Хиртэ,,,
Аюн,,,
Кулан,,,
Орлан,,,
Туул,,,
Санжи,,,
Дондок,,,
Бальжир,,,
Харган,,,
Чингис,,,
Эржэнэ,,,
Алтан,,,
Бурхан,,,
Дарма,,,
Егудай,,,
Заяан,,,
Кайдан,,,
Лопсан,,,
Микит,,,
Надмид,,,
Огдод,,,
Пурбо,,,
Радна,,,
Саган,,,
Тугут,,,
Ургай,,,
Федир,,,
Хатан,,,
Церен,,,
Чимит,,,
Шойло,,,
Элибек,,,
Юндун,,,
Ялти,,,
Авраам,,,
Бадма,,,
Гарма,,,
Даваа,,,
Евген,,,
Зандра,,,
Иннокентий,,,
Кушок,,,
Лама,,,
Малхаан,,,
Намсарай,,,
Октябр,,,
Пахом,,,
Рыгден,,,
Содном,,,
Табан,,,
Уртэ,,,
Фрол,,,
Халзан,,,
Цэрэн,,,
Чупун,,,
Шираб,,,
Эрдэм,,,
Юндэн,,,
Ярин,,,
Бато-Харитон,,,
Гарма-Доржи,,,
Даба-Бадма,,,
Жалсан,,,
Зоригто-Булат,,,
Иннокентий-Томирис,,,
